Date,open,high,low,close
2024-10-09 19:00:00,2614.81,2615.87,2607.81,2608.69
2024-10-09 20:00:00,2608.64,2609.9,2606.57,2609.36
2024-10-09 21:00:00,2609.14,2611.05,2605.21,2606.33
2024-10-09 22:00:00,2606.38,2610.21,2606.24,2609.26
2024-10-09 23:00:00,2609.19,2609.44,2606.79,2607.68
2024-10-10 01:00:00,2607.68,2608.97,2606.45,2608.88
2024-10-10 02:00:00,2608.87,2609.45,2607.9,2608.38
2024-10-10 03:00:00,2608.41,2610.16,2605.89,2609.33
2024-10-10 04:00:00,2609.31,2612.52,2606.82,2609.07
2024-10-10 05:00:00,2609.07,2615.62,2607.96,2615.28
2024-10-10 06:00:00,2615.23,2616.9,2611.39,2611.78
2024-10-10 07:00:00,2611.74,2614.69,2611.46,2613.88
2024-10-10 08:00:00,2613.93,2615.49,2612.51,2613.32
2024-10-10 09:00:00,2613.22,2616.35,2610.59,2612.4
2024-10-10 10:00:00,2612.18,2617.03,2610.24,2616.68
2024-10-10 11:00:00,2616.73,2617.36,2613.57,2615.43
2024-10-10 12:00:00,2615.46,2618.41,2614.3,2617.16
2024-10-10 13:00:00,2617.17,2618.47,2615.58,2618.0
2024-10-10 14:00:00,2617.83,2618.89,2611.34,2612.96
2024-10-10 15:00:00,2613.04,2627.27,2611.74,2625.09
2024-10-10 16:00:00,2625.33,2627.93,2615.91,2626.73
2024-10-10 17:00:00,2627.2,2629.73,2622.62,2625.44
2024-10-10 18:00:00,2625.48,2626.16,2618.78,2623.65
2024-10-10 19:00:00,2623.67,2629.02,2618.69,2619.23
2024-10-10 20:00:00,2619.19,2626.33,2616.5,2623.81
2024-10-10 21:00:00,2623.83,2629.09,2623.32,2626.47
2024-10-10 22:00:00,2626.42,2631.39,2625.99,2629.21
2024-10-10 23:00:00,2629.37,2631.52,2628.76,2630.05
2024-10-11 01:00:00,2629.75,2629.9,2628.02,2628.24
2024-10-11 02:00:00,2628.27,2635.96,2628.27,2633.17
2024-10-11 03:00:00,2633.18,2634.46,2631.88,2633.84
2024-10-11 04:00:00,2633.87,2637.89,2632.95,2637.76
2024-10-11 05:00:00,2637.7,2644.13,2635.27,2642.32
2024-10-11 06:00:00,2642.3,2646.02,2640.77,2645.47
2024-10-11 07:00:00,2645.44,2646.07,2643.94,2645.66
2024-10-11 08:00:00,2645.52,2646.01,2643.15,2644.73
2024-10-11 09:00:00,2644.75,2647.12,2637.99,2639.51
2024-10-11 10:00:00,2639.52,2645.59,2638.33,2645.43
2024-10-11 11:00:00,2645.41,2646.19,2639.13,2639.2
2024-10-11 12:00:00,2639.19,2641.68,2636.17,2637.9
2024-10-11 13:00:00,2637.9,2642.26,2637.04,2641.64
2024-10-11 14:00:00,2641.68,2644.73,2638.73,2644.64
2024-10-11 15:00:00,2644.76,2650.07,2639.91,2643.0
2024-10-11 16:00:00,2643.0,2653.4,2642.63,2649.05
2024-10-11 17:00:00,2649.22,2655.34,2646.44,2653.05
2024-10-11 18:00:00,2653.06,2659.3,2653.06,2658.81
2024-10-11 19:00:00,2658.83,2661.4,2657.86,2660.52
2024-10-11 20:00:00,2660.5,2661.24,2656.3,2659.46
2024-10-11 21:00:00,2659.53,2659.53,2656.16,2658.67
2024-10-11 22:00:00,2658.64,2658.84,2655.27,2656.12
2024-10-11 23:00:00,2656.06,2657.17,2654.79,2656.38
2024-10-14 01:00:00,2655.69,2655.84,2645.34,2650.29
2024-10-14 02:00:00,2650.29,2650.65,2647.65,2648.09
2024-10-14 03:00:00,2648.09,2648.35,2645.09,2646.66
2024-10-14 04:00:00,2646.62,2648.46,2643.61,2646.15
2024-10-14 05:00:00,2646.14,2655.52,2643.17,2655.19
2024-10-14 06:00:00,2655.17,2657.36,2653.78,2655.58
2024-10-14 07:00:00,2655.63,2660.38,2655.3,2659.23
2024-10-14 08:00:00,2659.23,2660.75,2657.12,2659.01
2024-10-14 09:00:00,2658.99,2666.77,2657.51,2664.11
2024-10-14 10:00:00,2664.21,2665.2,2659.11,2660.37
2024-10-14 11:00:00,2660.44,2661.87,2658.37,2659.41
2024-10-14 12:00:00,2659.45,2663.01,2656.87,2658.49
2024-10-14 13:00:00,2658.48,2660.86,2655.81,2655.83
2024-10-14 14:00:00,2655.83,2656.83,2651.06,2652.2
2024-10-14 15:00:00,2651.95,2654.55,2649.19,2651.33
2024-10-14 16:00:00,2651.32,2661.18,2647.69,2655.56
2024-10-14 17:00:00,2655.29,2657.0,2644.75,2645.66
2024-10-14 18:00:00,2645.7,2649.05,2643.93,2646.72
2024-10-14 19:00:00,2646.76,2649.73,2645.77,2648.49
2024-10-14 20:00:00,2648.47,2649.92,2647.26,2648.66
2024-10-14 21:00:00,2648.63,2650.94,2648.47,2649.22
2024-10-14 22:00:00,2649.2,2652.6,2647.03,2652.47
2024-10-14 23:00:00,2652.47,2653.32,2646.17,2648.52
2024-10-15 01:00:00,2648.48,2650.37,2647.26,2650.01
2024-10-15 02:00:00,2650.1,2650.98,2648.99,2649.43
2024-10-15 03:00:00,2649.43,2650.27,2647.89,2648.24
2024-10-15 04:00:00,2648.19,2651.3,2647.22,2648.47
2024-10-15 05:00:00,2648.45,2652.84,2648.1,2651.63
2024-10-15 06:00:00,2651.66,2651.68,2644.5,2645.72
2024-10-15 07:00:00,2645.76,2645.76,2642.97,2644.29
2024-10-15 08:00:00,2644.35,2644.35,2638.33,2641.86
2024-10-15 09:00:00,2641.8,2649.21,2641.51,2648.59
2024-10-15 10:00:00,2648.87,2653.92,2647.94,2650.72
2024-10-15 11:00:00,2650.68,2655.56,2649.75,2653.81
2024-10-15 12:00:00,2653.81,2655.5,2651.05,2653.58
2024-10-15 13:00:00,2653.84,2656.75,2652.7,2652.98
2024-10-15 14:00:00,2652.98,2654.54,2645.84,2647.76
2024-10-15 15:00:00,2647.77,2657.34,2647.2,2648.2
2024-10-15 16:00:00,2648.12,2653.25,2646.09,2648.61
2024-10-15 17:00:00,2648.61,2664.16,2647.79,2659.69
2024-10-15 18:00:00,2659.78,2665.12,2657.32,2664.69
2024-10-15 19:00:00,2664.69,2668.96,2661.12,2661.82
2024-10-15 20:00:00,2661.8,2664.21,2659.01,2663.69
2024-10-15 21:00:00,2663.71,2665.79,2663.45,2665.12
2024-10-15 22:00:00,2665.08,2666.44,2659.41,2661.68
2024-10-15 23:00:00,2661.65,2663.15,2660.27,2662.64
2024-10-16 01:00:00,2662.43,2662.83,2661.49,2662.19
2024-10-16 02:00:00,2662.19,2662.57,2660.42,2660.48
2024-10-16 03:00:00,2660.49,2660.5,2658.73,2660.22
2024-10-16 04:00:00,2660.24,2668.04,2660.14,2668.04
2024-10-16 05:00:00,2668.02,2670.06,2665.53,2668.03
2024-10-16 06:00:00,2668.05,2669.2,2665.3,2667.21
2024-10-16 07:00:00,2667.16,2668.2,2665.6,2666.75
