Date,open,high,low,close,tick_volume
2022-01-25 04:45:00,1839.68,1840.26,1839.43,1840.26,812
2022-01-25 05:00:00,1840.19,1840.93,1840.06,1840.51,851
2022-01-25 05:15:00,1840.52,1841.79,1840.18,1841.76,939
2022-01-25 05:30:00,1841.76,1842.11,1841.43,1841.83,729
2022-01-25 05:45:00,1841.87,1842.22,1841.48,1842.17,461
2022-01-25 06:00:00,1842.2,1843.11,1842.18,1842.73,622
2022-01-25 06:15:00,1842.73,1843.02,1842.12,1842.69,466
2022-01-25 06:30:00,1842.69,1842.84,1841.96,1842.01,604
2022-01-25 06:45:00,1841.99,1842.44,1841.68,1841.99,436
2022-01-25 07:00:00,1842.01,1842.57,1841.69,1842.03,464
2022-01-25 07:15:00,1842.07,1842.35,1841.76,1842.29,423
2022-01-25 07:30:00,1842.27,1842.76,1841.27,1842.27,945
2022-01-25 07:45:00,1842.17,1842.99,1841.62,1841.72,807
2022-01-25 08:00:00,1841.75,1842.05,1840.75,1841.41,946
2022-01-25 08:15:00,1841.4,1842.45,1841.26,1842.3,849
2022-01-25 08:30:00,1842.3,1842.76,1841.65,1841.68,824
2022-01-25 08:45:00,1841.69,1842.37,1841.32,1841.42,699
2022-01-25 09:00:00,1841.42,1842.16,1840.49,1842.08,1098
2022-01-25 09:15:00,1842.07,1843.28,1841.74,1842.81,1150
2022-01-25 09:30:00,1842.8,1843.38,1841.42,1842.02,1113
2022-01-25 09:45:00,1842.02,1842.14,1840.38,1840.84,1055
2022-01-25 10:00:00,1840.84,1841.45,1840.42,1841.28,1471
2022-01-25 10:15:00,1841.28,1843.22,1839.64,1839.72,1487
2022-01-25 10:30:00,1839.73,1841.29,1839.21,1840.53,1479
2022-01-25 10:45:00,1840.51,1841.61,1838.77,1838.81,1366
2022-01-25 11:00:00,1838.81,1838.83,1837.27,1837.67,1402
2022-01-25 11:15:00,1837.66,1839.38,1837.52,1838.17,1186
2022-01-25 11:30:00,1838.17,1838.56,1837.01,1837.25,1262
2022-01-25 11:45:00,1837.17,1838.58,1837.11,1838.14,1057
2022-01-25 12:00:00,1838.11,1839.02,1837.76,1838.83,854
2022-01-25 12:15:00,1838.82,1839.02,1837.65,1837.65,1044
2022-01-25 12:30:00,1837.73,1838.25,1834.94,1837.31,1330
2022-01-25 12:45:00,1837.31,1838.42,1837.31,1837.82,913
2022-01-25 13:00:00,1837.81,1838.85,1837.38,1837.76,863
2022-01-25 13:15:00,1837.7,1838.09,1837.06,1837.48,967
2022-01-25 13:30:00,1837.44,1839.66,1837.36,1839.47,1327
2022-01-25 13:45:00,1839.48,1839.57,1837.15,1837.68,1082
2022-01-25 14:00:00,1837.68,1839.11,1837.56,1838.85,1160
